Rescue probability,Death rate,Mutation rate
1.0,0.8852631578947369,6.309573444801943e-05
1.0,0.8852631578947369,0.0001
1.0,0.8852631578947369,0.0005
1.0,0.8852631578947369,0.001
0.044,0.9136842105263159,1e-08
0.191,0.9136842105263159,5e-08
0.362,0.9136842105263159,1e-07
0.521,0.9136842105263159,1.584893192461114e-07
0.689,0.9136842105263159,2.5118864315095823e-07
0.836,0.9136842105263159,3.981071705534969e-07
0.943,0.9136842105263159,6.30957344480193e-07
0.989,0.9136842105263159,1e-06
1.0,0.9136842105263159,1.584893192461114e-06
1.0,0.9136842105263159,2.5118864315095823e-06
1.0,0.9136842105263159,3.981071705534969e-06
1.0,0.9136842105263159,6.30957344480193e-06
1.0,0.9136842105263159,1e-05
1.0,0.9136842105263159,1.584893192461114e-05
1.0,0.9136842105263159,2.5118864315095822e-05
1.0,0.9136842105263159,3.9810717055349695e-05
1.0,0.9136842105263159,6.309573444801943e-05
1.0,0.9136842105263159,0.0001
1.0,0.9136842105263159,0.0005
1.0,0.9136842105263159,0.001
0.025,0.9421052631578948,1e-08
0.128,0.9421052631578948,5e-08
0.23,0.9421052631578948,1e-07
0.358,0.9421052631578948,1.584893192461114e-07
0.491,0.9421052631578948,2.5118864315095823e-07
0.658,0.9421052631578948,3.981071705534969e-07
0.806,0.9421052631578948,6.30957344480193e-07
0.927,0.9421052631578948,1e-06
0.99,0.9421052631578948,1.584893192461114e-06
0.998,0.9421052631578948,2.5118864315095823e-06
1.0,0.9421052631578948,3.981071705534969e-06
1.0,0.9421052631578948,6.30957344480193e-06
1.0,0.9421052631578948,1e-05
1.0,0.9421052631578948,1.584893192461114e-05
1.0,0.9421052631578948,2.5118864315095822e-05
1.0,0.9421052631578948,3.9810717055349695e-05
1.0,0.9421052631578948,6.309573444801943e-05
1.0,0.9421052631578948,0.0001
1.0,0.9421052631578948,0.0005
1.0,0.9421052631578948,0.001
0.019,0.9705263157894737,1e-08
0.081,0.9705263157894737,5e-08
0.195,0.9705263157894737,1e-07
0.302,0.9705263157894737,1.584893192461114e-07
0.429,0.9705263157894737,2.5118864315095823e-07
0.577,0.9705263157894737,3.981071705534969e-07
0.723,0.9705263157894737,6.30957344480193e-07
0.885,0.9705263157894737,1e-06
0.963,0.9705263157894737,1.584893192461114e-06
0.999,0.9705263157894737,2.5118864315095823e-06
0.999,0.9705263157894737,3.981071705534969e-06
1.0,0.9705263157894737,6.30957344480193e-06
1.0,0.9705263157894737,1e-05
1.0,0.9705263157894737,1.584893192461114e-05
1.0,0.9705263157894737,2.5118864315095822e-05
1.0,0.9705263157894737,3.9810717055349695e-05
1.0,0.9705263157894737,6.309573444801943e-05
1.0,0.9705263157894737,0.0001
1.0,0.9705263157894737,0.0005
1.0,0.9705263157894737,0.001
0.026,0.9989473684210527,1e-08
0.084,0.9989473684210527,5e-08
0.167,0.9989473684210527,1e-07
0.237,0.9989473684210527,1.584893192461114e-07
