Rescue probability,b,a
0.0,0.001,0.001
0.0,0.001,0.05
0.0,0.001,0.1
0.235,0.001,0.5
0.629,0.001,1.0
0.0,0.05,0.001
0.0,0.05,0.05
0.0,0.05,0.1
0.0,0.05,0.5
0.0,0.05,1.0
0.0,0.1,0.001
0.0,0.1,0.05
0.0,0.1,0.1
0.0,0.1,0.5
0.0,0.1,1.0
0.0,0.5,0.001
0.0,0.5,0.05
0.0,0.5,0.1
0.0,0.5,0.5
0.0,0.5,1.0
0.0,1.0,0.001
0.0,1.0,0.05
0.0,1.0,0.1
0.0,1.0,0.5
0.0,1.0,1.0
